iteration,current_cost,best_cost,delta,appt_moved,new_room,tabu_list_sz
1,42920707.4,42920707.4,-79998.7,830,ER11,1
2,42850714.3,42850714.3,-69993.1,814,ER10,2
3,42790724.8,42790724.8,-59989.5,727,ER15,3
4,42730736.3,42730736.3,-59988.5,756,ER8,4
5,42670738.5,42670738.5,-59997.8,755,ER6,5
6,42610751.5,42610751.5,-59987.0,593,ER5,6
7,42550777.5,42550777.5,-59974.0,886,ER5,7
8,42500789.3,42500789.3,-49988.2,717,ER11,8
9,42450803.3,42450803.3,-49986.0,831,ER4,9
10,42400829.699999996,42400829.699999996,-49973.6,561,ER6,10
11,42360831.699999996,42360831.699999996,-39998.0,508,ER8,11
12,42320833.699999996,42320833.699999996,-39998.0,516,ER4,12
13,42280836.699999996,42280836.699999996,-39997.0,520,ER12,13
14,42240846.9,42240846.9,-39989.8,546,ER10,14
15,42200858.4,42200858.4,-39988.5,566,ER8,15
16,42160869.9,42160869.9,-39988.5,448,ER8,16
17,42120881.5,42120881.5,-39988.4,562,ER11,17
18,42080893.5,42080893.5,-39988.0,887,ER8,18
19,42050893.5,42050893.5,-30000.0,890,ER5,19
20,42020894.1,42020894.1,-29999.4,532,ER11,20
21,41990904.6,41990904.6,-29989.5,640,ER2,20
22,41960916.6,41960916.6,-29988.0,494,ER10,20
23,41930928.800000004,41930928.800000004,-29987.8,515,ER10,20
24,41900941.400000006,41900941.400000006,-29987.4,591,ER11,20
25,41870954.400000006,41870954.400000006,-29987.0,845,ER8,20
26,41840967.7,41840967.7,-29986.7,863,ER11,20
27,41810982.2,41810982.2,-29985.5,769,ER13,20
28,41781003.2,41781003.2,-29979.0,445,ER15,20
29,41751024.2,41751024.2,-29979.0,606,ER15,20
30,41721048.6,41721048.6,-29975.6,735,ER6,20
31,41691074.6,41691074.6,-29974.0,802,ER5,20
32,41671074.6,41671074.6,-20000.0,434,ER15,20
33,41651074.6,41651074.6,-20000.0,590,ER5,20
34,41631074.6,41631074.6,-20000.0,733,ER6,20
35,41601081.4,41601081.4,-29993.2,583,ER15,20
36,41581081.4,41581081.4,-20000.0,500,ER6,20
37,41561081.4,41561081.4,-20000.0,838,ER9,20
38,41541081.9,41541081.9,-19999.5,630,ER3,20
39,41521082.5,41521082.5,-19999.4,512,ER11,20
40,41501083.5,41501083.5,-19999.0,668,ER4,20
41,41481084.5,41481084.5,-19999.0,835,ER8,20
42,41461095.0,41461095.0,-19989.5,795,ER3,20
43,41441105.5,41441105.5,-19989.5,635,ER1,20
44,41421116.0,41421116.0,-19989.5,648,ER15,20
45,41401127.0,41401127.0,-19989.0,918,ER2,20
46,41381138.2,41381138.2,-19988.8,458,ER11,20
47,41361149.7,41361149.7,-19988.5,800,ER2,20
48,41341161.7,41341161.7,-19988.0,718,ER8,20
49,41321174.300000004,41321174.300000004,-19987.4,825,ER10,20
50,38031187.8,38031187.8,-19986.5,681,ER2,20
51,38011201.4,38011201.4,-19986.4,828,ER11,20
52,37991226.4,37991226.4,-19975.0,544,ER13,20
53,37971251.4,37971251.4,-19975.0,503,ER8,20
54,37951297.4,37951297.4,-19954.0,713,ER16,20
55,37941284.4,37941284.4,-10013.0,888,ER5,20
56,37931284.199999996,37931284.199999996,-10000.2,786,ER10,20
57,37921284.199999996,37921284.199999996,-10000.0,459,ER11,20
58,37911284.199999996,37911284.199999996,-10000.0,431,ER15,20
59,37901284.199999996,37901284.199999996,-10000.0,663,ER10,20
60,37891284.199999996,37891284.199999996,-10000.0,705,ER16,20
61,37881284.199999996,37881284.199999996,-10000.0,556,ER13,20
62,37871284.199999996,37871284.199999996,-10000.0,615,ER15,20
63,37861284.199999996,37861284.199999996,-10000.0,560,ER14,20
64,37851285.199999996,37851285.199999996,-9999.0,522,ER4,20
65,37841286.199999996,37841286.199999996,-9999.0,736,ER9,20
66,37831288.199999996,37831288.199999996,-9998.0,527,ER3,20
67,37821288.199999996,37821288.199999996,-10000.0,638,ER2,20
68,37801291.8,37801291.8,-19996.4,535,ER11,20
69,37791294.0,37791294.0,-9997.8,513,ER10,20
70,37781293.2,37781293.2,-10000.8,521,ER9,20
71,37771295.400000006,37771295.400000006,-9997.8,829,ER10,20
72,37761298.400000006,37761298.400000006,-9997.0,796,ER12,20
73,37751308.400000006,37751308.400000006,-9990.0,734,ER5,20
74,37741311.400000006,37741311.400000006,-9997.0,523,ER4,20
75,37731322.00000001,37731322.00000001,-9989.4,837,ER9,20
76,37721333.00000001,37721333.00000001,-9989.0,792,ER3,20
77,37711344.00000001,37711344.00000001,-9989.0,447,ER3,20
78,37701355.00000001,37701355.00000001,-9989.0,841,ER2,20
79,37691366.50000001,37691366.50000001,-9988.5,789,ER8,20
80,37681378.50000001,37681378.50000001,-9988.0,524,ER4,20
81,37671389.50000001,37671389.50000001,-9989.0,449,ER7,20
82,37661379.50000001,37661379.50000001,-10010.0,511,ER4,20
83,37651376.300000004,37651376.300000004,-10003.2,829,ER3,20
84,37641388.300000004,37641388.300000004,-9988.0,541,ER4,20
85,37631400.300000004,37631400.300000004,-9988.0,485,ER12,20
86,37621412.300000004,37621412.300000004,-9988.0,827,ER2,20
87,37611413.800000004,37611413.800000004,-9998.5,918,ER5,20
88,37601426.00000001,37601426.00000001,-9987.8,924,ER4,20
89,37591426.00000001,37591426.00000001,-10000.0,922,ER4,20
90,37581429.400000006,37581429.400000006,-9996.6,449,ER6,20
91,37571441.800000004,37571441.800000004,-9987.6,457,ER11,20
92,37561453.00000001,37561453.00000001,-9988.8,462,ER9,20
93,37551464.400000006,37551464.400000006,-9988.6,804,ER9,20
94,37541468.400000006,37541468.400000006,-9996.0,446,ER14,20
95,37531480.900000006,37531480.900000006,-9987.5,658,ER8,20
96,37521493.900000006,37521493.900000006,-9987.0,719,ER4,20
97,37511498.900000006,37511498.900000006,-9995.0,831,ER13,20
98,37501511.900000006,37501511.900000006,-9987.0,688,ER3,20
99,37491525.10000001,37491525.10000001,-9986.8,905,ER9,20
100,36191538.7,36191538.7,-9986.4,824,ER4,20
101,36181553.300000004,36181553.300000004,-9985.4,777,ER6,20
102,36171553.300000004,36171553.300000004,-10000.0,779,ER6,20
103,36161568.300000004,36161568.300000004,-9985.0,862,ER8,20
104,36151583.7,36151583.7,-9984.6,813,ER14,20
105,36141594.2,36141594.2,-9989.5,822,ER15,20
106,36131615.2,36131615.2,-9979.0,428,ER16,20
107,36121615.2,36121615.2,-10000.0,432,ER16,20
108,36111641.2,36111641.2,-9974.0,455,ER5,20
109,36101642.6,36101642.6,-9998.6,802,ER6,20
110,36091670.4,36091670.4,-9972.2,739,ER5,20
111,36081699.0,36081699.0,-9971.4,598,ER13,20
112,36071731.0,36071731.0,-9968.0,704,ER5,20
113,36071709.8,36071709.8,-21.2,671,ER10,20
114,36061727.0,36061727.0,-9982.8,675,ER2,20
115,36061706.0,36061706.0,-21.0,609,ER15,20
116,36061685.0,36061685.0,-21.0,444,ER16,20
117,36061671.0,36061671.0,-14.000000000000002,542,ER10,20
118,36061657.8,36061657.8,-13.2,563,ER6,20
119,36051679.199999996,36051679.199999996,-9978.6,904,ER5,20
120,36051667.199999996,36051667.199999996,-12.0,834,ER8,20
121,36051653.199999996,36051653.199999996,-14.0,796,ER2,20
122,36051641.99999999,36051641.99999999,-11.2,466,ER11,20
123,36041654.699999996,36041654.699999996,-9987.3,879,ER9,20
124,36041643.699999996,36041643.699999996,-11.0,529,ER4,20
125,36041632.699999996,36041632.699999996,-11.0,792,ER4,20
126,36041622.199999996,36041622.199999996,-10.5,433,ER15,20
127,36041611.699999996,36041611.699999996,-10.5,612,ER15,20
128,36041601.199999996,36041601.199999996,-10.5,897,ER16,20
129,36041590.699999996,36041590.699999996,-10.5,795,ER7,20
130,36041582.099999994,36041582.099999994,-8.599999999999998,815,ER8,20
131,36031603.099999994,36031603.099999994,-9979.0,435,ER15,20
132,36031582.099999994,36031582.099999994,-21.0,429,ER15,20
133,36011571.599999994,36011571.599999994,-20010.5,727,ER16,20
134,36001571.599999994,36001571.599999994,-10000.0,440,ER15,20
135,35991592.599999994,35991592.599999994,-9979.0,616,ER16,20
136,35991590.099999994,35991590.099999994,-2.5,447,ER5,20
137,35991588.3,35991588.3,-1.799999999999999,813,ER11,20
138,35991584.699999996,35991584.699999996,-3.6000000000000014,828,ER1,20
139,35991583.099999994,35991583.099999994,-1.6000000000000014,535,ER4,20
140,35991581.699999996,35991581.699999996,-1.4000000000000004,823,ER9,20
141,35981585.699999996,35981585.699999996,-9996.0,546,ER14,20
142,35971597.9,35971597.9,-9987.8,525,ER10,20
143,35971597.9,35971597.9,0.0,461,ER9,20
144,35961597.9,35961597.9,-10000.0,622,ER10,20
145,35961597.9,35961597.9,0.0,465,ER5,20
146,35961597.9,35961597.9,0.0,465,ER8,20
147,35961597.9,35961597.9,0.0,439,ER15,20
148,35961597.9,35961597.9,0.0,439,ER16,20
149,35961597.9,35961597.9,0.0,584,ER15,20
150,35751597.9,35751597.9,0.0,465,ER5,20
151,35751597.9,35751597.9,0.0,475,ER5,20
152,35741619.3,35741619.3,-9978.6,574,ER6,20
153,35741619.3,35741619.3,0.0,584,ER5,20
154,35741619.3,35741619.3,0.0,572,ER6,20
155,35741619.3,35741619.3,0.0,572,ER5,20
156,35741619.3,35741619.3,0.0,737,ER5,20
157,35741607.9,35741607.9,-11.399999999999997,449,ER14,20
158,35741607.1,35741607.1,-0.8000000000000007,738,ER10,20
159,35731631.1,35731631.1,-9976.0,627,ER14,20
160,35731619.1,35731619.1,-12.0,624,ER14,20
161,35731619.1,35731619.1,0.0,466,ER10,20
162,35731619.1,35731619.1,0.0,466,ER11,20
163,35731619.1,35731619.1,0.0,703,ER16,20
164,35731619.1,35731619.1,0.0,703,ER13,20
165,35731619.1,35731619.1,0.0,709,ER5,20
166,35731619.1,35731619.1,0.0,709,ER13,20
167,35731619.1,35731619.1,0.0,545,ER13,20
168,35731619.1,35731619.1,0.0,439,ER15,20
169,35731619.1,35731619.1,0.0,439,ER16,20
170,35731619.1,35731619.1,0.0,584,ER15,20
171,35731619.1,35731619.1,0.0,575,ER15,20
172,35721631.9,35721631.9,-9987.2,881,ER5,20
173,35721631.9,35721631.9,0.0,573,ER15,20
174,35721631.9,35721631.9,0.0,573,ER5,20
175,35721631.9,35721631.9,0.0,572,ER6,20
176,35721631.9,35721631.9,0.0,572,ER5,20
177,35721631.9,35721631.9,0.0,545,ER12,20
178,35721631.9,35721631.9,0.0,728,ER16,20
179,35721631.9,35721631.9,0.0,728,ER15,20
180,35721631.9,35721631.9,0.0,796,ER6,20
181,35721628.4,35721628.4,-3.5,800,ER5,20
182,35721628.4,35721628.4,0.0,466,ER10,20
183,35721628.4,35721628.4,0.0,466,ER11,20
184,35721628.4,35721628.4,0.0,703,ER16,20
185,35721628.4,35721628.4,0.0,703,ER13,20
186,35721628.4,35721628.4,0.0,709,ER5,20
187,35721628.4,35721628.4,0.0,709,ER13,20
188,35721628.4,35721628.4,0.0,545,ER13,20
189,35721628.4,35721628.4,0.0,439,ER15,20
190,35721628.4,35721628.4,0.0,439,ER16,20
191,35721628.4,35721628.4,0.0,799,ER6,20
192,35721628.4,35721628.4,0.0,799,ER7,20
193,35721628.4,35721628.4,0.0,861,ER8,20
194,35721628.4,35721628.4,0.0,573,ER15,20
195,35721628.4,35721628.4,0.0,573,ER5,20
196,35721628.4,35721628.4,0.0,572,ER6,20
197,35721628.4,35721628.4,0.0,572,ER5,20
198,35721628.4,35721628.4,0.0,545,ER12,20
199,35721628.4,35721628.4,0.0,728,ER16,20
200,35751628.4,35721628.4,0.0,728,ER15,20
201,35751628.4,35721628.4,0.0,861,ER1,20
202,35751628.4,35721628.4,0.0,858,ER11,20
203,35751627.8,35721628.4,-0.6000000000000014,562,ER4,20
204,35751627.199999996,35721628.4,-0.5999999999999979,522,ER11,20
205,35741654.4,35721628.4,-9972.8,744,ER4,20
206,35741640.5,35721628.4,-13.9,447,ER14,20
207,35731640.5,35721628.4,-10000.0,743,ER4,20
208,35731640.5,35721628.4,0.0,466,ER10,20
209,35731640.5,35721628.4,0.0,466,ER11,20
210,35731640.5,35721628.4,0.0,439,ER15,20
211,35731640.5,35721628.4,0.0,439,ER16,20
212,35731640.5,35721628.4,0.0,703,ER16,20
213,35731640.5,35721628.4,0.0,703,ER13,20
214,35731640.5,35721628.4,0.0,709,ER5,20
215,35731640.5,35721628.4,0.0,573,ER15,20
216,35731640.5,35721628.4,0.0,573,ER5,20
217,35731640.5,35721628.4,0.0,572,ER6,20
218,35731640.5,35721628.4,0.0,572,ER5,20
219,35731640.5,35721628.4,0.0,709,ER13,20
220,35731640.5,35721628.4,0.0,545,ER13,20
221,35731640.5,35721628.4,0.0,545,ER12,20
222,35731640.5,35721628.4,0.0,728,ER16,20
223,35731640.5,35721628.4,0.0,728,ER15,20
224,35731640.5,35721628.4,0.0,799,ER6,20
225,35731640.5,35721628.4,0.0,799,ER7,20
226,35731640.5,35721628.4,0.0,861,ER8,20
227,35731640.5,35721628.4,0.0,861,ER1,20
228,35731640.5,35721628.4,0.0,644,ER2,20
229,35731640.5,35721628.4,0.0,466,ER10,20
230,35731640.5,35721628.4,0.0,466,ER11,20
231,35731640.5,35721628.4,0.0,439,ER15,20
232,35731640.5,35721628.4,0.0,439,ER16,20
233,35731640.5,35721628.4,0.0,703,ER16,20
234,35731640.5,35721628.4,0.0,703,ER13,20
235,35731640.5,35721628.4,0.0,709,ER5,20
236,35731640.5,35721628.4,0.0,573,ER15,20
237,35731640.5,35721628.4,0.0,573,ER5,20
238,35731640.5,35721628.4,0.0,572,ER6,20
239,35731640.5,35721628.4,0.0,572,ER5,20
240,35731640.5,35721628.4,0.0,709,ER13,20
241,35731640.5,35721628.4,0.0,545,ER13,20
242,35731640.5,35721628.4,0.0,545,ER12,20
243,35731640.5,35721628.4,0.0,728,ER16,20
244,35731640.5,35721628.4,0.0,728,ER15,20
245,35731640.5,35721628.4,0.0,799,ER6,20
246,35731640.5,35721628.4,0.0,799,ER7,20
247,35731640.5,35721628.4,0.0,861,ER8,20
248,35731640.5,35721628.4,0.0,861,ER1,20
249,35731640.5,35721628.4,0.0,644,ER1,20
250,35601640.5,35601640.5,0.0,466,ER10,20
251,35601640.5,35601640.5,0.0,466,ER11,20
252,35601640.5,35601640.5,0.0,439,ER15,20
253,35601640.5,35601640.5,0.0,439,ER16,20
254,35601640.5,35601640.5,0.0,703,ER16,20
255,35601640.5,35601640.5,0.0,703,ER13,20
256,35601640.5,35601640.5,0.0,709,ER5,20
257,35601640.5,35601640.5,0.0,573,ER15,20
258,35601640.5,35601640.5,0.0,573,ER5,20
259,35601640.5,35601640.5,0.0,572,ER6,20
260,35601640.5,35601640.5,0.0,572,ER5,20
261,35601640.5,35601640.5,0.0,709,ER13,20
262,35601640.5,35601640.5,0.0,545,ER13,20
263,35601640.5,35601640.5,0.0,545,ER12,20
264,35601640.5,35601640.5,0.0,728,ER16,20
265,35601640.5,35601640.5,0.0,728,ER15,20
266,35601640.5,35601640.5,0.0,799,ER6,20
267,35601640.5,35601640.5,0.0,799,ER7,20
268,35601640.5,35601640.5,0.0,861,ER8,20
269,35601640.5,35601640.5,0.0,861,ER1,20
270,35601640.5,35601640.5,0.0,644,ER2,20
271,35601640.5,35601640.5,0.0,466,ER10,20
272,35601640.5,35601640.5,0.0,466,ER11,20
273,35601640.5,35601640.5,0.0,439,ER15,20
274,35601640.5,35601640.5,0.0,439,ER16,20
275,35601640.5,35601640.5,0.0,703,ER16,20
276,35601640.5,35601640.5,0.0,703,ER13,20
277,35601640.5,35601640.5,0.0,709,ER5,20
278,35601640.5,35601640.5,0.0,573,ER15,20
279,35601640.5,35601640.5,0.0,573,ER5,20
280,35601640.5,35601640.5,0.0,572,ER6,20
281,35601640.5,35601640.5,0.0,572,ER5,20
282,35601640.5,35601640.5,0.0,709,ER13,20
283,35601640.5,35601640.5,0.0,545,ER13,20
284,35601640.5,35601640.5,0.0,545,ER12,20
285,35601640.5,35601640.5,0.0,728,ER16,20
286,35601640.5,35601640.5,0.0,728,ER15,20
287,35601640.5,35601640.5,0.0,799,ER6,20
288,35601640.5,35601640.5,0.0,799,ER7,20
289,35601640.5,35601640.5,0.0,861,ER8,20
290,35601640.5,35601640.5,0.0,861,ER1,20
291,35601640.5,35601640.5,0.0,644,ER1,20
292,35601640.5,35601640.5,0.0,466,ER10,20
293,35601640.5,35601640.5,0.0,466,ER11,20
294,35601640.5,35601640.5,0.0,439,ER15,20
295,35601640.5,35601640.5,0.0,439,ER16,20
296,35601640.5,35601640.5,0.0,703,ER16,20
297,35601640.5,35601640.5,0.0,703,ER13,20
298,35601640.5,35601640.5,0.0,709,ER5,20
299,35601640.5,35601640.5,0.0,573,ER15,20
300,35601640.5,35601640.5,0.0,573,ER5,20
